Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,P_avg,Ot_avg,Ot_min,Ot_max,Ot_std
7.8699999,5.2800002,10.7,0.92000002,170.85001,140.81,193.08,8.8699999,839.96997,6.48,6.3000002,6.5,0.050000001
8.6000004,4.8200002,12.11,1.1799999,298.78,268.32999,324.87,8.5799999,1034.47,6.4699998,6.4000001,6.5,0.039999999
9.0600004,6.3400002,11.53,0.97000003,173.81,132.45,198.53,9.2600002,1199.26,5.71,5.5999999,5.8000002,0.079999998
8.4700003,5.8699999,12.43,1.08,188.44,99.839996,230.95,10.4,1063.8199,6.1100001,6.0500002,6.3000002,0.039999999
7.8499999,5.46,10.1,0.94,175.00999,145.5,203.08,10.23,859.34003,6.48,6.3000002,6.5500002,0.039999999
9.4300003,6.5500002,12.33,1.0700001,178.39999,151.09,205.13,8.0500002,1223.95,5.7399998,5.5999999,5.9000001,0.090000004
8.3400002,4.6500001,11.34,1.01,186.99001,137.48,223.37,10.79,993.34998,6.2800002,6.0999999,6.4000001,0.07
7.6999998,4.6599998,10.77,1.11,301.57001,268.20001,330.94,10.88,740.64001,6.46,6.4000001,6.6999998,0.050000001
7.98,5.4400001,11.06,0.99000001,176.52,140.95,206.71001,9.7200003,838.60999,6.5599999,6.5,6.5999999,0.039999999
7.54,5.1199999,11.04,1.0599999,305.78,272.47,338.51001,11.15,728.46997,6.54,6.4000001,6.8000002,0.090000004
8.4499998,5.8099999,12.25,1.0,188.58,157.25,287.26999,10.14,1057.33,6.3699999,6.3000002,6.5,0.050000001
7.71,5.0599999,10.81,1.1,176.77,150.78,201.78999,9.29,800.64001,6.6199999,6.5,6.8000002,0.059999999
9.6599998,6.52,12.67,1.02,179.89999,142.94,203.92,8.5900002,1289.12,5.8299999,5.8000002,5.9000001,0.039999999
8.1300001,5.3099999,11.42,1.13,177.17999,144.03,206.53999,11.01,873.15002,6.6999998,6.5999999,6.8000002,0.090000004
9.0600004,6.5500002,11.79,1.08,180.5,130.53999,204.03,8.96,1153.23,5.9299998,5.8000002,6.0999999,0.07
8.3299999,5.5999999,12.59,1.0700001,188.10001,144.73,241.08,10.63,982.15997,6.4200001,6.3000002,6.5999999,0.059999999
7.1900001,4.6599998,10.89,1.0599999,301.32999,258.67999,16.07,11.49,702.54999,6.6999998,6.5,6.8000002,0.02
7.3099999,5.0799999,9.96,0.98000002,176.22,153.78,207.08,96.040001,670.19,6.6900001,6.5999999,6.8000002,0.090000004
7.3400002,5.1599998,10.33,1.0,300.01999,260.10999,341.39999,12.27,704.0,6.7399998,6.6500001,6.8000002,0.039999999
8.46,6.0700002,11.22,0.91000003,179.24001,138.99001,215.08,9.1099997,983.15997,6.0799999,5.9000001,6.1500001,0.050000001
7.54,4.6500001,10.98,1.0,186.5,156.5,224.28999,10.67,786.71002,6.4000001,6.4000001,6.5999999,0.0099999998
7.71,5.3899999,10.24,1.02,185.06,143.71001,222.37,10.09,707.09998,6.0700002,5.9000001,6.1500001,0.059999999
7.5999999,5.2600002,10.89,1.0599999,191.27,156.02,228.53999,10.74,753.42999,6.4000001,6.3499999,6.5,0.0099999998
7.1300001,4.4099998,10.6,1.12,180.46001,135.2,221.06,10.69,609.03003,6.6799998,6.5999999,6.8000002,0.079999998
7.54,4.6500001,11.45,1.3,304.57001,259.85001,337.13,11.82,699.75,6.7199998,6.6999998,6.8000002,0.039999999
7.7199998,4.46,12.18,1.46,188.58,154.67,220.67,11.43,812.52002,6.23,6.0,6.4000001,0.12
7.9699998,5.1700001,11.2,1.04,182.21001,133.57001,226.45,10.25,808.42999,5.8400002,5.5999999,6.0,0.07
7.9299998,5.46,11.21,1.0599999,179.06,140.88,207.95,10.57,844.01001,6.5,6.3000002,6.8000002,0.12
7.8200002,4.3299999,11.67,1.24,302.44,264.10999,345.64999,11.2,785.03003,6.46,6.1999998,6.6999998,0.16
8.0500002,5.3400002,11.31,1.14,186.83,81.0,220.64999,11.63,935.57001,6.0,6.0,6.0999999,0.02
8.0500002,5.48,10.93,1.09,175.72,142.83,209.25,9.9099998,891.32001,6.2600002,6.0999999,6.3000002,0.050000001
8.2600002,5.5,12.17,1.1799999,302.97,243.89,6.0799999,12.13,937.81,6.1900001,6.0999999,6.3000002,0.02
